Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Elastic Net,2.0578,6.2794,2.5014,0.0316,0.6708,0.7682,0.054,"(1, 3, 5)"
K Neighbors Regressor,2.059,6.9403,2.6259,-0.0693,0.6843,0.7181,0.055,"(1, 3, 5)"
Lasso Regression,2.0686,6.3369,2.5121,0.0238,0.6743,0.7757,0.053,"(1, 3, 5)"
Lasso Least Angle Regression,2.0686,6.3369,2.5121,0.0238,0.6743,0.7757,0.055,"(1, 3, 5)"
Dummy Regressor,2.1538,6.6019,2.5637,-0.0149,0.6894,0.8384,0.056,"(1, 3, 5)"
Passive Aggressive Regressor,2.7596,11.9999,3.4066,-0.8882,0.8616,0.8944,0.056,"(1, 3, 5)"
Least Angle Regression,25364.1031,6862202957.1102,37325.508,-983685847.5837,4.6317,10339.8727,0.056,"(1, 3, 5)"
Extra Trees Regressor,1.2859,3.0257,1.732,0.4602,0.5101,0.442,0.162,"(1, 3, 6)"
Light Gradient Boosting Machine,1.3633,3.3066,1.8138,0.4098,0.532,0.4771,0.113,"(1, 3, 6)"
Random Forest Regressor,1.4021,3.4873,1.8601,0.3795,0.5441,0.4777,0.359,"(1, 3, 6)"
Gradient Boosting Regressor,1.4629,3.7258,1.9238,0.3362,0.5565,0.5068,0.251,"(1, 3, 6)"
Linear Regression,1.715,4.896,2.2019,0.1329,0.6193,0.6646,0.059,"(1, 3, 6)"
Decision Tree Regressor,1.7733,6.7888,2.5809,-0.1987,0.7245,0.6425,0.062,"(1, 3, 6)"
Ridge Regression,1.7768,5.0393,2.2339,0.1079,0.6285,0.6803,0.059,"(1, 3, 6)"
AdaBoost Regressor,1.7825,4.5945,2.1357,0.1799,0.646,0.7299,0.12,"(1, 3, 6)"
Huber Regressor,1.8239,5.4211,2.3124,0.0481,0.632,0.6478,0.063,"(1, 3, 6)"
Bayesian Ridge,1.8589,5.2777,2.2865,0.066,0.6496,0.7207,0.059,"(1, 3, 6)"
Orthogonal Matching Pursuit,1.8655,5.3178,2.2957,0.0586,0.6502,0.732,0.058,"(1, 3, 6)"
Elastic Net,1.8696,5.3112,2.2921,0.0632,0.6514,0.7311,0.058,"(1, 3, 6)"
Lasso Regression,1.8812,5.3778,2.3057,0.0525,0.657,0.7332,0.058,"(1, 3, 6)"
Lasso Least Angle Regression,1.8812,5.3778,2.3057,0.0525,0.657,0.7332,0.058,"(1, 3, 6)"
K Neighbors Regressor,1.9106,5.9842,2.4337,-0.063,0.6802,0.7454,0.058,"(1, 3, 6)"
Dummy Regressor,1.9879,5.7923,2.3975,-0.0251,0.685,0.816,0.062,"(1, 3, 6)"
Passive Aggressive Regressor,2.6466,11.5927,3.3321,-1.062,0.9273,1.105,0.06,"(1, 3, 6)"
Least Angle Regression,582.3274,4311241.8233,859.8093,-560616.1008,2.5418,240.6667,0.059,"(1, 3, 6)"
Extra Trees Regressor,1.454,3.7754,1.925,0.4544,0.5598,0.4669,0.169,"(1, 3, 8)"
Light Gradient Boosting Machine,1.5916,4.3458,2.0644,0.3726,0.5959,0.5349,0.11,"(1, 3, 8)"
Random Forest Regressor,1.5966,4.3265,2.0613,0.3749,0.5916,0.5247,0.354,"(1, 3, 8)"
Gradient Boosting Regressor,1.6536,4.706,2.1455,0.3211,0.6123,0.5453,0.249,"(1, 3, 8)"
Linear Regression,1.9418,6.0619,2.4445,0.1195,0.6819,0.6936,0.062,"(1, 3, 8)"
Ridge Regression,1.9609,5.984,2.4255,0.1335,0.6807,0.7042,0.064,"(1, 3, 8)"
Huber Regressor,2.0005,6.2861,2.4879,0.0879,0.6792,0.6705,0.066,"(1, 3, 8)"
Decision Tree Regressor,2.0117,8.4573,2.8933,-0.2496,0.8152,0.6598,0.064,"(1, 3, 8)"
Orthogonal Matching Pursuit,2.0366,6.2491,2.4832,0.0915,0.6998,0.7324,0.061,"(1, 3, 8)"
Bayesian Ridge,2.038,6.2322,2.4804,0.0935,0.6995,0.734,0.061,"(1, 3, 8)"
AdaBoost Regressor,2.0574,5.928,2.4268,0.1299,0.7144,0.7785,0.128,"(1, 3, 8)"
Elastic Net,2.0575,6.2972,2.4945,0.0832,0.7041,0.7418,0.063,"(1, 3, 8)"
Lasso Regression,2.0835,6.3738,2.5112,0.0707,0.7116,0.7512,0.061,"(1, 3, 8)"
Lasso Least Angle Regression,2.0835,6.3738,2.5112,0.0707,0.7116,0.7512,0.063,"(1, 3, 8)"
K Neighbors Regressor,2.1529,7.2876,2.6804,-0.0588,0.7339,0.7825,0.061,"(1, 3, 8)"
Dummy Regressor,2.2098,6.909,2.6202,-0.0137,0.7387,0.8193,0.063,"(1, 3, 8)"
Passive Aggressive Regressor,2.5627,10.4883,3.1987,-0.5325,0.8309,0.9649,0.063,"(1, 3, 8)"
Least Angle Regression,30512.7375,17021920348.3008,59420.0032,-3231400058.0791,5.4634,15132.6393,0.065,"(1, 3, 8)"
Extra Trees Regressor,1.28,3.2469,1.7923,0.4563,0.5187,0.3981,0.166,"(1, 3, 9)"
Random Forest Regressor,1.39,3.6851,1.9065,0.385,0.543,0.4362,0.325,"(1, 3, 9)"
Light Gradient Boosting Machine,1.3904,3.7409,1.9186,0.37,0.5468,0.4461,0.103,"(1, 3, 9)"
Gradient Boosting Regressor,1.4806,4.1157,2.0132,0.3187,0.5615,0.4793,0.238,"(1, 3, 9)"
Decision Tree Regressor,1.6781,6.5795,2.5419,-0.1258,0.7184,0.5404,0.067,"(1, 3, 9)"
Linear Regression,1.7053,4.9638,2.2207,0.1624,0.6131,0.6399,0.066,"(1, 3, 9)"
Ridge Regression,1.7754,5.1974,2.2725,0.1338,0.6321,0.657,0.067,"(1, 3, 9)"
Huber Regressor,1.7883,5.5322,2.3449,0.0792,0.631,0.6104,0.066,"(1, 3, 9)"
Orthogonal Matching Pursuit,1.8494,5.4193,2.321,0.0992,0.6476,0.6968,0.064,"(1, 3, 9)"
Bayesian Ridge,1.8537,5.4088,2.3194,0.0999,0.6483,0.6932,0.065,"(1, 3, 9)"
Elastic Net,1.8595,5.4446,2.327,0.0941,0.651,0.6931,0.067,"(1, 3, 9)"
AdaBoost Regressor,1.8633,5.1675,2.264,0.14,0.6704,0.748,0.118,"(1, 3, 9)"
Lasso Regression,1.8647,5.4987,2.3382,0.086,0.6552,0.6912,0.066,"(1, 3, 9)"
Lasso Least Angle Regression,1.8647,5.4987,2.3382,0.086,0.6552,0.6912,0.066,"(1, 3, 9)"
K Neighbors Regressor,1.9556,6.37,2.5138,-0.0568,0.6933,0.7399,0.064,"(1, 3, 9)"
Dummy Regressor,2.0159,6.15,2.4693,-0.015,0.6907,0.8082,0.068,"(1, 3, 9)"
Passive Aggressive Regressor,3.1976,16.7381,4.0225,-1.8211,1.0504,1.3416,0.066,"(1, 3, 9)"
Least Angle Regression,4972.1712,374259331.6597,7121.5881,-67314909.8531,3.7387,2749.1524,0.068,"(1, 3, 9)"
Extra Trees Regressor,1.4476,3.8158,1.9402,0.4478,0.5454,0.447,0.163,"(1, 3, 10)"
Light Gradient Boosting Machine,1.5573,4.335,2.0641,0.3704,0.5733,0.5154,0.105,"(1, 3, 10)"
Random Forest Regressor,1.5764,4.3636,2.0781,0.3669,0.581,0.4996,0.344,"(1, 3, 10)"
Gradient Boosting Regressor,1.5957,4.3966,2.0867,0.36,0.5773,0.5222,0.242,"(1, 3, 10)"
Linear Regression,1.846,5.6983,2.3751,0.1694,0.6455,0.684,0.068,"(1, 3, 10)"
Ridge Regression,1.9051,5.6401,2.3635,0.1798,0.6589,0.7055,0.065,"(1, 3, 10)"
Bayesian Ridge,1.9677,5.8866,2.418,0.143,0.6741,0.7395,0.07,"(1, 3, 10)"
Huber Regressor,1.9749,6.0772,2.4562,0.1171,0.6713,0.7184,0.072,"(1, 3, 10)"
Orthogonal Matching Pursuit,2.0425,6.306,2.5049,0.0798,0.6906,0.7701,0.069,"(1, 3, 10)"
AdaBoost Regressor,2.0688,5.9885,2.4432,0.1256,0.7053,0.8426,0.125,"(1, 3, 10)"
Elastic Net,2.0704,6.4008,2.5252,0.0659,0.6958,0.7802,0.068,"(1, 3, 10)"
Lasso Regression,2.095,6.4734,2.5399,0.0555,0.7019,0.7929,0.068,"(1, 3, 10)"
Lasso Least Angle Regression,2.095,6.4734,2.5399,0.0555,0.7019,0.7929,0.069,"(1, 3, 10)"
Decision Tree Regressor,2.1213,9.2823,3.0268,-0.3574,0.8192,0.692,0.071,"(1, 3, 10)"
K Neighbors Regressor,2.1666,7.401,2.7132,-0.0777,0.7357,0.8023,0.068,"(1, 3, 10)"
Dummy Regressor,2.2532,7.0223,2.646,-0.0245,0.7307,0.9128,0.071,"(1, 3, 10)"
Passive Aggressive Regressor,4.4089,35.1873,5.3679,-4.3866,1.1088,2.1897,0.069,"(1, 3, 10)"
Least Angle Regression,5814.4374,235526476.1439,8282.7029,-37232697.3543,4.9844,3424.0851,0.069,"(1, 3, 10)"
Extra Trees Regressor,1.3319,3.327,1.8101,0.4804,0.5189,0.4397,0.168,"(1, 3, 12)"
Light Gradient Boosting Machine,1.4903,3.9862,1.9822,0.3751,0.5622,0.519,0.109,"(1, 3, 12)"
Random Forest Regressor,1.496,3.998,1.9862,0.3778,0.5562,0.5089,0.337,"(1, 3, 12)"
Gradient Boosting Regressor,1.5547,4.2809,2.058,0.3305,0.5658,0.5496,0.249,"(1, 3, 12)"
Linear Regression,1.7995,5.4134,2.3195,0.1429,0.6343,0.695,0.074,"(1, 3, 12)"
Ridge Regression,1.8724,5.5368,2.3474,0.1236,0.6459,0.7143,0.071,"(1, 3, 12)"
Huber Regressor,1.9171,6.0896,2.4585,0.0431,0.6549,0.6776,0.073,"(1, 3, 12)"
Decision Tree Regressor,1.9176,7.7666,2.7719,-0.2463,0.744,0.6774,0.073,"(1, 3, 12)"
AdaBoost Regressor,1.9307,5.5138,2.3393,0.1367,0.6793,0.8125,0.118,"(1, 3, 12)"
Elastic Net,1.9629,5.9104,2.4247,0.0728,0.669,0.7708,0.074,"(1, 3, 12)"
Bayesian Ridge,1.9641,5.9172,2.4276,0.0663,0.6695,0.7676,0.074,"(1, 3, 12)"
Orthogonal Matching Pursuit,1.974,5.9942,2.4437,0.0556,0.6695,0.7775,0.072,"(1, 3, 12)"
Lasso Regression,1.9809,5.9808,2.4379,0.0638,0.6752,0.7773,0.071,"(1, 3, 12)"
Lasso Least Angle Regression,1.9809,5.9808,2.4379,0.0638,0.6752,0.7773,0.072,"(1, 3, 12)"
K Neighbors Regressor,2.0492,6.8713,2.6078,-0.0725,0.7077,0.788,0.068,"(1, 3, 12)"
Dummy Regressor,2.0835,6.5185,2.5449,-0.0193,0.7038,0.8541,0.076,"(1, 3, 12)"
Passive Aggressive Regressor,3.7489,24.6752,4.5997,-2.7557,1.038,1.8617,0.074,"(1, 3, 12)"
Least Angle Regression,2.316375188765879e+249,inf,inf,-inf,60.979,1.0911882173342643e+249,0.074,"(1, 3, 12)"
Extra Trees Regressor,1.2644,2.9303,1.6938,0.4982,0.4977,0.4497,0.169,"(1, 3, 13)"
Light Gradient Boosting Machine,1.3809,3.3945,1.8278,0.4114,0.5273,0.5209,0.113,"(1, 3, 13)"
Random Forest Regressor,1.4067,3.5675,1.8715,0.3892,0.5408,0.5002,0.358,"(1, 3, 13)"
Gradient Boosting Regressor,1.4528,3.7698,1.9294,0.3512,0.5587,0.5156,0.253,"(1, 3, 13)"
Linear Regression,1.6945,4.7634,2.1704,0.179,0.6153,0.6446,0.075,"(1, 3, 13)"
Ridge Regression,1.7211,4.782,2.1726,0.1766,0.6177,0.6532,0.075,"(1, 3, 13)"
Decision Tree Regressor,1.7237,6.5813,2.5495,-0.1336,0.7021,0.6652,0.076,"(1, 3, 13)"
AdaBoost Regressor,1.7341,4.4835,2.1084,0.2252,0.635,0.7159,0.131,"(1, 3, 13)"
Bayesian Ridge,1.7526,4.9214,2.2085,0.1499,0.6279,0.6688,0.075,"(1, 3, 13)"
Huber Regressor,1.8,5.333,2.3018,0.0782,0.6309,0.6498,0.08,"(1, 3, 13)"
Elastic Net,1.8298,5.2289,2.2806,0.096,0.6494,0.7106,0.075,"(1, 3, 13)"
Orthogonal Matching Pursuit,1.8377,5.2671,2.2885,0.0895,0.6508,0.7142,0.075,"(1, 3, 13)"
Lasso Regression,1.8441,5.2792,2.2916,0.0873,0.6543,0.7167,0.075,"(1, 3, 13)"
Lasso Least Angle Regression,1.8441,5.2792,2.2916,0.0873,0.6543,0.7167,0.076,"(1, 3, 13)"
K Neighbors Regressor,1.8933,5.9947,2.4402,-0.0391,0.6795,0.725,0.075,"(1, 3, 13)"
Dummy Regressor,1.9906,5.8249,2.4083,-0.008,0.6868,0.8201,0.075,"(1, 3, 13)"
Passive Aggressive Regressor,4.81,39.5465,5.7349,-5.8847,1.1346,2.9132,0.076,"(1, 3, 13)"
Least Angle Regression,3348.8775,158616886.903,4175.0474,-26514734.997,3.3256,1617.0708,0.076,"(1, 3, 13)"
Extra Trees Regressor,1.3139,3.3928,1.8331,0.4528,0.5172,0.4333,0.174,"(1, 3, 15)"
Random Forest Regressor,1.4454,4.0053,1.9929,0.3535,0.5544,0.4786,0.342,"(1, 3, 15)"
Light Gradient Boosting Machine,1.4492,3.9242,1.9648,0.3709,0.5499,0.4914,0.118,"(1, 3, 15)"
Gradient Boosting Regressor,1.4857,4.137,2.0264,0.3296,0.5673,0.491,0.246,"(1, 3, 15)"
Linear Regression,1.7688,5.4618,2.3229,0.1199,0.6256,0.6646,0.08,"(1, 3, 15)"
Decision Tree Regressor,1.8033,7.223,2.6655,-0.188,0.7388,0.6233,0.081,"(1, 3, 15)"
Ridge Regression,1.8088,5.4192,2.3175,0.1278,0.6361,0.6833,0.078,"(1, 3, 15)"
Huber Regressor,1.8625,5.8256,2.401,0.0664,0.6428,0.6542,0.081,"(1, 3, 15)"
AdaBoost Regressor,1.8812,5.2288,2.2785,0.1536,0.6665,0.7936,0.124,"(1, 3, 15)"
Bayesian Ridge,1.8909,5.728,2.3825,0.0807,0.6571,0.7302,0.078,"(1, 3, 15)"
Orthogonal Matching Pursuit,1.8914,5.6896,2.3751,0.0858,0.658,0.7332,0.078,"(1, 3, 15)"
Elastic Net,1.8989,5.7387,2.3855,0.0785,0.6587,0.7361,0.078,"(1, 3, 15)"
Lasso Regression,1.9104,5.7723,2.393,0.0731,0.6627,0.7423,0.079,"(1, 3, 15)"
Lasso Least Angle Regression,1.9104,5.7723,2.393,0.0731,0.6627,0.7423,0.077,"(1, 3, 15)"
K Neighbors Regressor,1.9387,6.3135,2.5044,-0.02,0.6822,0.7577,0.078,"(1, 3, 15)"
Dummy Regressor,2.0522,6.3163,2.5051,-0.0144,0.6909,0.838,0.08,"(1, 3, 15)"
Passive Aggressive Regressor,4.9744,39.4553,5.9593,-5.7017,1.2274,2.6141,0.078,"(1, 3, 15)"
Least Angle Regression,307000.21,2560266924691.6216,507232.8088,-307652141860.2293,3.9169,143873.9095,0.08,"(1, 3, 15)"
Extra Trees Regressor,1.2898,3.0703,1.74,0.4816,0.4924,0.4416,0.171,"(1, 3, 16)"
Random Forest Regressor,1.3822,3.4153,1.8377,0.4218,0.5258,0.4778,0.351,"(1, 3, 16)"
Light Gradient Boosting Machine,1.3981,3.5565,1.8773,0.3945,0.5244,0.493,0.122,"(1, 3, 16)"
Gradient Boosting Regressor,1.4576,3.7255,1.9193,0.3706,0.5336,0.5153,0.254,"(1, 3, 16)"
Linear Regression,1.7315,4.7819,2.1763,0.1899,0.6066,0.66,0.082,"(1, 3, 16)"
Ridge Regression,1.7482,4.9244,2.2095,0.1626,0.6099,0.6594,0.079,"(1, 3, 16)"
AdaBoost Regressor,1.7552,4.6134,2.1403,0.214,0.624,0.7087,0.131,"(1, 3, 16)"
Huber Regressor,1.7885,5.1933,2.2734,0.1145,0.6106,0.6395,0.085,"(1, 3, 16)"
Bayesian Ridge,1.7959,5.0673,2.2457,0.1349,0.6236,0.685,0.084,"(1, 3, 16)"
Decision Tree Regressor,1.8222,7.2244,2.6732,-0.2332,0.721,0.63,0.087,"(1, 3, 16)"
Elastic Net,1.8308,5.2351,2.2831,0.1064,0.634,0.7029,0.082,"(1, 3, 16)"
Orthogonal Matching Pursuit,1.8374,5.2584,2.2885,0.1018,0.6314,0.7032,0.088,"(1, 3, 16)"
Lasso Regression,1.8422,5.301,2.2974,0.0954,0.64,0.7062,0.08,"(1, 3, 16)"
Lasso Least Angle Regression,1.8422,5.301,2.2974,0.0954,0.64,0.7062,0.085,"(1, 3, 16)"
K Neighbors Regressor,1.9339,6.1707,2.4694,-0.0431,0.6727,0.7229,0.081,"(1, 3, 16)"
Dummy Regressor,1.9878,5.9205,2.4293,-0.01,0.6717,0.8076,0.085,"(1, 3, 16)"
Passive Aggressive Regressor,3.361,20.2746,4.1895,-2.4383,0.9205,1.7966,0.081,"(1, 3, 16)"
Least Angle Regression,1119.7696,9487984.3426,1686.3199,-1577358.7754,3.4617,541.3732,0.083,"(1, 3, 16)"
Extra Trees Regressor,1.4169,3.7049,1.9112,0.4407,0.5263,0.4758,0.181,"(1, 3, 17)"
Random Forest Regressor,1.51,4.0112,1.9882,0.3955,0.5463,0.5176,0.352,"(1, 3, 17)"
Light Gradient Boosting Machine,1.5189,4.048,1.9976,0.3876,0.5473,0.5343,0.122,"(1, 3, 17)"
Gradient Boosting Regressor,1.5866,4.3617,2.0779,0.3379,0.5655,0.5502,0.255,"(1, 3, 17)"
Decision Tree Regressor,1.8206,7.2118,2.6572,-0.113,0.6962,0.6667,0.085,"(1, 3, 17)"
Linear Regression,1.8567,5.7207,2.3698,0.1417,0.633,0.6871,0.086,"(1, 3, 17)"
Ridge Regression,1.921,5.8299,2.3965,0.1223,0.6427,0.7299,0.082,"(1, 3, 17)"
AdaBoost Regressor,1.9396,5.4113,2.3152,0.179,0.6643,0.8077,0.13,"(1, 3, 17)"
Huber Regressor,1.9661,6.1747,2.4693,0.069,0.6419,0.7064,0.085,"(1, 3, 17)"
Bayesian Ridge,2.0149,6.16,2.4671,0.0714,0.6654,0.7839,0.085,"(1, 3, 17)"
Orthogonal Matching Pursuit,2.0336,6.2158,2.4789,0.062,0.6709,0.7973,0.083,"(1, 3, 17)"
Elastic Net,2.0471,6.2817,2.493,0.0513,0.6717,0.8027,0.088,"(1, 3, 17)"
Lasso Regression,2.059,6.3317,2.5036,0.0429,0.6764,0.8077,0.086,"(1, 3, 17)"
Lasso Least Angle Regression,2.059,6.3317,2.5036,0.0429,0.6764,0.8077,0.084,"(1, 3, 17)"
Dummy Regressor,2.1666,6.7667,2.5923,-0.0291,0.6992,0.8784,0.089,"(1, 3, 17)"
K Neighbors Regressor,2.1815,7.6467,2.7481,-0.162,0.7207,0.8266,0.084,"(1, 3, 17)"
Passive Aggressive Regressor,2.6177,11.2328,3.2981,-0.7391,0.8351,1.0437,0.084,"(1, 3, 17)"
Least Angle Regression,7.958005669445351e+245,inf,inf,-inf,60.0041,4.111872730560373e+245,0.086,"(1, 3, 17)"
Extra Trees Regressor,1.5242,4.1061,2.022,0.3983,0.5482,0.4893,0.176,"(1, 4, 5)"
Random Forest Regressor,1.6467,4.5787,2.1366,0.3284,0.5754,0.5347,0.358,"(1, 4, 5)"
Light Gradient Boosting Machine,1.6505,4.6889,2.1619,0.3104,0.5798,0.5394,0.125,"(1, 4, 5)"
Gradient Boosting Regressor,1.7187,4.8989,2.212,0.2765,0.5882,0.5713,0.251,"(1, 4, 5)"
Linear Regression,1.8854,5.6595,2.3755,0.1662,0.6181,0.6608,0.087,"(1, 4, 5)"
Ridge Regression,1.974,5.9848,2.4425,0.1231,0.6442,0.6752,0.089,"(1, 4, 5)"
Huber Regressor,1.9965,6.2599,2.4956,0.0846,0.6441,0.661,0.092,"(1, 4, 5)"
AdaBoost Regressor,2.0067,5.8435,2.413,0.1456,0.6589,0.761,0.13,"(1, 4, 5)"
Bayesian Ridge,2.0132,6.1026,2.4646,0.1082,0.65,0.7021,0.087,"(1, 4, 5)"
Orthogonal Matching Pursuit,2.0609,6.3568,2.5148,0.0718,0.6614,0.7389,0.088,"(1, 4, 5)"
Elastic Net,2.0853,6.4921,2.5403,0.0529,0.6647,0.7483,0.089,"(1, 4, 5)"
Lasso Regression,2.0923,6.5281,2.5476,0.0475,0.6671,0.7558,0.089,"(1, 4, 5)"
Lasso Least Angle Regression,2.0923,6.5281,2.5476,0.0475,0.6671,0.7558,0.087,"(1, 4, 5)"
K Neighbors Regressor,2.1014,7.1543,2.6632,-0.0468,0.6751,0.7385,0.089,"(1, 4, 5)"
Decision Tree Regressor,2.105,8.6905,2.937,-0.2828,0.7407,0.7152,0.093,"(1, 4, 5)"
Dummy Regressor,2.2239,6.9169,2.626,-0.0123,0.6888,0.8477,0.094,"(1, 4, 5)"
Passive Aggressive Regressor,5.0956,48.6953,6.0539,-6.41,1.1363,2.2444,0.088,"(1, 4, 5)"
Least Angle Regression,444373.919,4749285380154.112,689336.8628,-622914731811.0253,3.5824,142701.9586,0.09,"(1, 4, 5)"
Extra Trees Regressor,1.3613,3.4397,1.8492,0.4537,0.5211,0.4614,0.182,"(1, 4, 6)"
Light Gradient Boosting Machine,1.4748,3.947,1.9811,0.3742,0.5482,0.5159,0.135,"(1, 4, 6)"
Random Forest Regressor,1.4989,3.9802,1.9907,0.3667,0.5507,0.5146,0.375,"(1, 4, 6)"
Gradient Boosting Regressor,1.5718,4.2657,2.0611,0.3215,0.5611,0.5488,0.263,"(1, 4, 6)"
Linear Regression,1.7685,5.2168,2.2725,0.1745,0.6123,0.668,0.09,"(1, 4, 6)"
Ridge Regression,1.8166,5.289,2.2958,0.1589,0.621,0.6782,0.092,"(1, 4, 6)"
Bayesian Ridge,1.8676,5.4447,2.3284,0.1358,0.6291,0.7011,0.09,"(1, 4, 6)"
Decision Tree Regressor,1.9118,8.1104,2.8319,-0.2909,0.7393,0.6795,0.093,"(1, 4, 6)"
Huber Regressor,1.9329,5.854,2.4146,0.0744,0.6355,0.6862,0.095,"(1, 4, 6)"
AdaBoost Regressor,1.95,5.4161,2.3224,0.1407,0.6626,0.8034,0.128,"(1, 4, 6)"
Elastic Net,1.9841,5.8426,2.4114,0.0798,0.6538,0.7616,0.09,"(1, 4, 6)"
Orthogonal Matching Pursuit,1.9939,5.9288,2.4303,0.0616,0.6552,0.779,0.091,"(1, 4, 6)"
Lasso Regression,2.0014,5.9154,2.426,0.0694,0.661,0.7644,0.096,"(1, 4, 6)"
Lasso Least Angle Regression,2.0014,5.9154,2.426,0.0694,0.661,0.7644,0.092,"(1, 4, 6)"
Dummy Regressor,2.1401,6.4655,2.5373,-0.0181,0.6937,0.8545,0.096,"(1, 4, 6)"
K Neighbors Regressor,2.1585,7.2064,2.6791,-0.1377,0.7169,0.8297,0.091,"(1, 4, 6)"
Passive Aggressive Regressor,2.4027,8.7951,2.9531,-0.381,0.7505,0.9148,0.091,"(1, 4, 6)"
Least Angle Regression,769641.3246,12177929421418.723,1107234.2948,-1645194272149.6582,4.2468,347473.4227,0.088,"(1, 4, 6)"
Extra Trees Regressor,1.5927,4.3976,2.093,0.4026,0.5787,0.4862,0.188,"(1, 4, 8)"
Light Gradient Boosting Machine,1.6569,4.7449,2.1652,0.3564,0.5957,0.5204,0.137,"(1, 4, 8)"
Random Forest Regressor,1.7416,5.0267,2.2386,0.3205,0.6123,0.5458,0.379,"(1, 4, 8)"
Gradient Boosting Regressor,1.7634,5.2934,2.2938,0.2867,0.6202,0.5445,0.26,"(1, 4, 8)"
Ridge Regression,2.0169,6.3166,2.5079,0.1435,0.6817,0.6618,0.093,"(1, 4, 8)"
Linear Regression,2.0188,6.4968,2.5458,0.1198,0.6869,0.6606,0.093,"(1, 4, 8)"
Huber Regressor,2.0933,6.6581,2.5738,0.095,0.6942,0.6629,0.099,"(1, 4, 8)"
Orthogonal Matching Pursuit,2.111,6.6508,2.574,0.0962,0.7021,0.6866,0.096,"(1, 4, 8)"
Bayesian Ridge,2.1127,6.647,2.5738,0.0981,0.7027,0.6873,0.092,"(1, 4, 8)"
Decision Tree Regressor,2.1231,9.2616,3.0344,-0.2555,0.7906,0.686,0.1,"(1, 4, 8)"
Elastic Net,2.1495,6.7969,2.603,0.0795,0.7098,0.7016,0.093,"(1, 4, 8)"
AdaBoost Regressor,2.1707,6.6005,2.5665,0.1081,0.7246,0.7708,0.133,"(1, 4, 8)"
Lasso Regression,2.1758,6.8815,2.6194,0.0695,0.7175,0.7147,0.1,"(1, 4, 8)"
Lasso Least Angle Regression,2.1758,6.8815,2.6194,0.0695,0.7175,0.7147,0.097,"(1, 4, 8)"
Dummy Regressor,2.3492,7.6179,2.755,-0.0217,0.7459,0.8249,0.1,"(1, 4, 8)"
K Neighbors Regressor,2.3499,8.3348,2.8786,-0.1206,0.764,0.7708,0.095,"(1, 4, 8)"
Passive Aggressive Regressor,4.1163,33.3327,4.9766,-3.5032,0.9883,1.6529,0.093,"(1, 4, 8)"
Least Angle Regression,1.1006391689799373e+200,inf,inf,-inf,49.8191,4.64360400842496e+199,0.096,"(1, 4, 8)"
Extra Trees Regressor,1.4006,3.7058,1.9039,0.4701,0.5337,0.4203,0.18,"(1, 4, 9)"
Light Gradient Boosting Machine,1.4773,3.954,1.9704,0.4323,0.5507,0.4696,0.135,"(1, 4, 9)"
Random Forest Regressor,1.4858,3.9937,1.98,0.4289,0.5588,0.4518,0.333,"(1, 4, 9)"
Gradient Boosting Regressor,1.5365,4.3309,2.0584,0.3818,0.5697,0.4826,0.254,"(1, 4, 9)"
Linear Regression,1.7667,5.3145,2.2856,0.2333,0.6201,0.5987,0.097,"(1, 4, 9)"
Ridge Regression,1.867,5.516,2.3281,0.2112,0.644,0.6358,0.098,"(1, 4, 9)"
AdaBoost Regressor,1.8884,5.3244,2.2899,0.2373,0.6576,0.6839,0.139,"(1, 4, 9)"
Decision Tree Regressor,1.8985,7.6982,2.7485,-0.1401,0.7278,0.6536,0.106,"(1, 4, 9)"
Bayesian Ridge,1.9173,5.7363,2.3765,0.1792,0.6539,0.657,0.101,"(1, 4, 9)"
Huber Regressor,1.9996,6.2625,2.4805,0.1064,0.6662,0.679,0.099,"(1, 4, 9)"
Orthogonal Matching Pursuit,2.0161,6.1979,2.472,0.1116,0.6735,0.7181,0.098,"(1, 4, 9)"
Elastic Net,2.0165,6.1936,2.4699,0.1135,0.6775,0.7106,0.098,"(1, 4, 9)"
Lasso Regression,2.0288,6.2544,2.4816,0.1058,0.6823,0.7142,0.098,"(1, 4, 9)"
Lasso Least Angle Regression,2.0288,6.2544,2.4816,0.1058,0.6823,0.7142,0.099,"(1, 4, 9)"
K Neighbors Regressor,2.218,7.8561,2.7779,-0.1217,0.7402,0.7802,0.097,"(1, 4, 9)"
Dummy Regressor,2.2437,7.0736,2.6454,-0.0198,0.7224,0.8616,0.1,"(1, 4, 9)"
Passive Aggressive Regressor,3.747,21.5848,4.6124,-2.2466,1.0287,1.8145,0.101,"(1, 4, 9)"
Least Angle Regression,758.6502,12562880.7987,1156.6157,-1360373.6209,2.1946,264.7919,0.098,"(1, 4, 9)"
Extra Trees Regressor,1.451,3.8325,1.9503,0.4612,0.5381,0.4585,0.18,"(1, 4, 10)"
Light Gradient Boosting Machine,1.567,4.3813,2.0864,0.3854,0.5607,0.5035,0.138,"(1, 4, 10)"
Random Forest Regressor,1.5678,4.2843,2.066,0.3987,0.5659,0.5006,0.347,"(1, 4, 10)"
Gradient Boosting Regressor,1.6684,4.7848,2.1796,0.3294,0.5851,0.5471,0.252,"(1, 4, 10)"
Linear Regression,1.8346,5.4575,2.3285,0.2371,0.6339,0.6412,0.1,"(1, 4, 10)"
Ridge Regression,1.8662,5.4353,2.3283,0.2351,0.6369,0.6593,0.102,"(1, 4, 10)"
