Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Least Angle Regression,3.6431,17.8627,4.2242,-0.0139,0.3365,0.3489,0.192,"('subject_1', 'subject_10', 'subject_25')"
Elastic Net,3.6485,17.8868,4.2275,-0.0154,0.3385,0.3521,0.173,"('subject_1', 'subject_10', 'subject_25')"
Dummy Regressor,3.6518,17.8949,4.2284,-0.0158,0.3384,0.3521,0.167,"('subject_1', 'subject_10', 'subject_25')"
Lasso Regression,3.6524,17.9072,4.2298,-0.0165,0.3386,0.3523,0.19,"('subject_1', 'subject_10', 'subject_25')"
Lasso Least Angle Regression,3.6524,17.9072,4.2298,-0.0165,0.3386,0.3523,0.203,"('subject_1', 'subject_10', 'subject_25')"
Bayesian Ridge,3.6553,17.9289,4.2324,-0.0177,0.3387,0.3525,0.178,"('subject_1', 'subject_10', 'subject_25')"
Huber Regressor,3.6816,18.3142,4.2776,-0.0397,0.3431,0.3589,0.175,"('subject_1', 'subject_10', 'subject_25')"
K Neighbors Regressor,3.7871,19.8253,4.4472,-0.1264,0.3513,0.3636,0.206,"('subject_1', 'subject_10', 'subject_25')"
Decision Tree Regressor,4.368,30.3326,5.5045,-0.7282,0.4271,0.3906,0.193,"('subject_1', 'subject_10', 'subject_25')"
Passive Aggressive Regressor,5.9598,51.9552,7.0845,-1.9647,0.5711,0.5403,0.168,"('subject_1', 'subject_10', 'subject_25')"
Random Forest Regressor,3.4794,16.6927,4.0817,0.0643,0.3164,0.3172,0.481,"('subject_1', 'subject_10', 'subject_26')"
Gradient Boosting Regressor,3.5245,16.8059,4.096,0.0565,0.3199,0.3253,0.46,"('subject_1', 'subject_10', 'subject_26')"
Extra Trees Regressor,3.5523,17.8432,4.2179,0.0002,0.3264,0.3261,0.342,"('subject_1', 'subject_10', 'subject_26')"
AdaBoost Regressor,3.5634,16.7652,4.0919,0.0591,0.3228,0.3329,0.237,"('subject_1', 'subject_10', 'subject_26')"
Light Gradient Boosting Machine,3.5887,18.6169,4.3093,-0.0449,0.332,0.3243,0.341,"('subject_1', 'subject_10', 'subject_26')"
Linear Regression,3.6163,17.7005,4.2039,0.0074,0.3342,0.3452,0.173,"('subject_1', 'subject_10', 'subject_26')"
Ridge Regression,3.6169,17.698,4.2035,0.0075,0.3343,0.3455,0.191,"('subject_1', 'subject_10', 'subject_26')"
Least Angle Regression,3.6212,17.7692,4.2122,0.0033,0.3344,0.3452,0.193,"('subject_1', 'subject_10', 'subject_26')"
Orthogonal Matching Pursuit,3.631,17.9186,4.2294,-0.0041,0.3383,0.3503,0.187,"('subject_1', 'subject_10', 'subject_26')"
Lasso Least Angle Regression,3.6479,17.9845,4.2374,-0.0079,0.3387,0.3514,0.171,"('subject_1', 'subject_10', 'subject_26')"
Lasso Regression,3.6479,17.9845,4.2374,-0.0079,0.3387,0.3514,0.171,"('subject_1', 'subject_10', 'subject_26')"
Bayesian Ridge,3.6482,17.9782,4.2366,-0.0078,0.3386,0.3513,0.187,"('subject_1', 'subject_10', 'subject_26')"
Elastic Net,3.6485,17.9948,4.2386,-0.0086,0.3388,0.3514,0.19,"('subject_1', 'subject_10', 'subject_26')"
Dummy Regressor,3.6581,18.0507,4.2453,-0.0117,0.3391,0.352,0.381,"('subject_1', 'subject_10', 'subject_26')"
Huber Regressor,3.6616,18.1748,4.2591,-0.0194,0.3407,0.3549,0.18,"('subject_1', 'subject_10', 'subject_26')"
K Neighbors Regressor,3.7942,20.4473,4.5107,-0.1449,0.3535,0.3606,0.212,"('subject_1', 'subject_10', 'subject_26')"
Decision Tree Regressor,4.3752,30.6598,5.5194,-0.7215,0.4299,0.3778,0.217,"('subject_1', 'subject_10', 'subject_26')"
Passive Aggressive Regressor,4.6944,33.1357,5.5335,-0.8785,0.4615,0.4032,0.185,"('subject_1', 'subject_10', 'subject_26')"
Random Forest Regressor,3.4433,16.3514,4.0395,0.045,0.3131,0.3158,0.489,"('subject_1', 'subject_10', 'subject_27')"
Gradient Boosting Regressor,3.4646,16.2073,4.0237,0.0527,0.3136,0.3195,0.371,"('subject_1', 'subject_10', 'subject_27')"
Extra Trees Regressor,3.4983,17.1279,4.1349,-0.0004,0.3192,0.3192,0.367,"('subject_1', 'subject_10', 'subject_27')"
Light Gradient Boosting Machine,3.5011,17.7406,4.2071,-0.0365,0.3225,0.3155,0.276,"('subject_1', 'subject_10', 'subject_27')"
AdaBoost Regressor,3.516,16.3486,4.0403,0.0469,0.3187,0.3282,0.201,"('subject_1', 'subject_10', 'subject_27')"
Linear Regression,3.563,17.1525,4.1375,0.0013,0.3282,0.3382,0.198,"('subject_1', 'subject_10', 'subject_27')"
Ridge Regression,3.5635,17.1496,4.1371,0.0015,0.3283,0.3385,0.183,"('subject_1', 'subject_10', 'subject_27')"
Orthogonal Matching Pursuit,3.5681,17.3149,4.1559,-0.0072,0.3313,0.3416,0.175,"('subject_1', 'subject_10', 'subject_27')"
Elastic Net,3.5796,17.3739,4.1634,-0.0109,0.3318,0.3426,0.174,"('subject_1', 'subject_10', 'subject_27')"
Lasso Least Angle Regression,3.5843,17.3905,4.1656,-0.012,0.3319,0.3428,0.171,"('subject_1', 'subject_10', 'subject_27')"
Lasso Regression,3.5843,17.3905,4.1656,-0.012,0.3319,0.3428,0.212,"('subject_1', 'subject_10', 'subject_27')"
Huber Regressor,3.5893,17.6536,4.1965,-0.028,0.3357,0.3485,0.238,"('subject_1', 'subject_10', 'subject_27')"
Bayesian Ridge,3.5896,17.4635,4.1743,-0.0163,0.3325,0.3434,0.218,"('subject_1', 'subject_10', 'subject_27')"
Dummy Regressor,3.5969,17.4998,4.1789,-0.0185,0.3327,0.3437,0.215,"('subject_1', 'subject_10', 'subject_27')"
Least Angle Regression,3.6709,18.5716,4.2953,-0.0822,0.3395,0.3488,0.175,"('subject_1', 'subject_10', 'subject_27')"
K Neighbors Regressor,3.7242,19.6039,4.422,-0.1412,0.3483,0.3569,0.208,"('subject_1', 'subject_10', 'subject_27')"
Decision Tree Regressor,4.4126,30.7705,5.539,-0.8085,0.4291,0.3884,0.181,"('subject_1', 'subject_10', 'subject_27')"
Passive Aggressive Regressor,4.6528,32.5951,5.5815,-0.921,0.434,0.4347,0.452,"('subject_1', 'subject_10', 'subject_27')"
Random Forest Regressor,3.5581,17.236,4.1479,0.0675,0.3204,0.3252,0.399,"('subject_1', 'subject_10', 'subject_28')"
Gradient Boosting Regressor,3.5915,17.231,4.1489,0.0687,0.3227,0.3309,0.379,"('subject_1', 'subject_10', 'subject_28')"
Light Gradient Boosting Machine,3.5979,18.418,4.2863,0.0032,0.3265,0.3238,0.284,"('subject_1', 'subject_10', 'subject_28')"
Extra Trees Regressor,3.6118,17.7991,4.2145,0.039,0.3229,0.3266,0.343,"('subject_1', 'subject_10', 'subject_28')"
AdaBoost Regressor,3.6363,17.2918,4.1569,0.0666,0.3269,0.3388,0.216,"('subject_1', 'subject_10', 'subject_28')"
Linear Regression,3.7297,18.4943,4.2985,0.0032,0.3396,0.3535,0.189,"('subject_1', 'subject_10', 'subject_28')"
Ridge Regression,3.7315,18.4907,4.298,0.0034,0.3397,0.3539,0.236,"('subject_1', 'subject_10', 'subject_28')"
Least Angle Regression,3.7354,18.6593,4.3176,-0.0059,0.3416,0.3534,0.206,"('subject_1', 'subject_10', 'subject_28')"
Dummy Regressor,3.7461,18.6222,4.3135,-0.0038,0.3429,0.3584,0.212,"('subject_1', 'subject_10', 'subject_28')"
Bayesian Ridge,3.7468,18.6291,4.3143,-0.0041,0.343,0.3585,0.256,"('subject_1', 'subject_10', 'subject_28')"
Lasso Least Angle Regression,3.7473,18.6342,4.3149,-0.0044,0.343,0.3585,0.276,"('subject_1', 'subject_10', 'subject_28')"
Lasso Regression,3.7473,18.6342,4.3149,-0.0044,0.343,0.3585,0.243,"('subject_1', 'subject_10', 'subject_28')"
Elastic Net,3.7479,18.6629,4.3183,-0.006,0.3433,0.3586,0.239,"('subject_1', 'subject_10', 'subject_28')"
Orthogonal Matching Pursuit,3.75,18.6596,4.3178,-0.0057,0.3433,0.3588,0.295,"('subject_1', 'subject_10', 'subject_28')"
Huber Regressor,3.786,19.2254,4.3824,-0.0364,0.3487,0.3662,0.257,"('subject_1', 'subject_10', 'subject_28')"
K Neighbors Regressor,3.8465,20.7079,4.5418,-0.114,0.3553,0.3652,0.246,"('subject_1', 'subject_10', 'subject_28')"
Passive Aggressive Regressor,4.3038,27.4461,5.1786,-0.4777,0.3931,0.4096,0.238,"('subject_1', 'subject_10', 'subject_28')"
Decision Tree Regressor,4.4607,31.7033,5.6114,-0.7221,0.4328,0.3884,0.206,"('subject_1', 'subject_10', 'subject_28')"
Random Forest Regressor,3.3889,15.7856,3.9665,0.0842,0.3068,0.3089,0.518,"('subject_1', 'subject_10', 'subject_29')"
Gradient Boosting Regressor,3.4809,16.2428,4.0268,0.0569,0.3141,0.3215,0.297,"('subject_1', 'subject_10', 'subject_29')"
Light Gradient Boosting Machine,3.49,17.3503,4.1575,-0.0074,0.3187,0.3142,0.235,"('subject_1', 'subject_10', 'subject_29')"
AdaBoost Regressor,3.4915,16.068,4.0051,0.0683,0.3173,0.3268,0.212,"('subject_1', 'subject_10', 'subject_29')"
Extra Trees Regressor,3.4982,17.0803,4.1271,0.0065,0.3189,0.3208,0.397,"('subject_1', 'subject_10', 'subject_29')"
Linear Regression,3.5673,17.106,4.1316,0.0081,0.3283,0.3389,0.229,"('subject_1', 'subject_10', 'subject_29')"
Ridge Regression,3.5686,17.1013,4.1312,0.0083,0.3284,0.3392,0.249,"('subject_1', 'subject_10', 'subject_29')"
Elastic Net,3.5833,17.3349,4.1601,-0.0047,0.3326,0.3438,0.248,"('subject_1', 'subject_10', 'subject_29')"
Dummy Regressor,3.5843,17.3216,4.1585,-0.004,0.3324,0.3438,0.238,"('subject_1', 'subject_10', 'subject_29')"
Bayesian Ridge,3.5846,17.3295,4.1594,-0.0044,0.3325,0.3438,0.233,"('subject_1', 'subject_10', 'subject_29')"
Lasso Least Angle Regression,3.5848,17.3289,4.1593,-0.0044,0.3325,0.3438,0.248,"('subject_1', 'subject_10', 'subject_29')"
Lasso Regression,3.5848,17.3289,4.1593,-0.0044,0.3325,0.3438,0.229,"('subject_1', 'subject_10', 'subject_29')"
Least Angle Regression,3.5877,17.3518,4.1608,-0.0061,0.3306,0.3412,0.226,"('subject_1', 'subject_10', 'subject_29')"
Orthogonal Matching Pursuit,3.5883,17.4105,4.1691,-0.0091,0.3332,0.3442,0.208,"('subject_1', 'subject_10', 'subject_29')"
Huber Regressor,3.6126,17.6484,4.197,-0.0227,0.3358,0.3488,0.309,"('subject_1', 'subject_10', 'subject_29')"
K Neighbors Regressor,3.707,19.2363,4.3832,-0.1173,0.3459,0.3554,0.279,"('subject_1', 'subject_10', 'subject_29')"
Decision Tree Regressor,4.4084,30.6151,5.5264,-0.7875,0.4227,0.3827,0.269,"('subject_1', 'subject_10', 'subject_29')"
Passive Aggressive Regressor,5.2831,41.3832,6.3147,-1.4074,0.4724,0.4779,0.272,"('subject_1', 'subject_10', 'subject_29')"
Random Forest Regressor,3.4161,15.9764,3.9966,0.0739,0.3072,0.309,0.366,"('subject_1', 'subject_10', 'subject_3')"
Extra Trees Regressor,3.4773,16.6929,4.0838,0.0339,0.3135,0.314,0.345,"('subject_1', 'subject_10', 'subject_3')"
Gradient Boosting Regressor,3.4786,16.3605,4.0434,0.0534,0.3132,0.3175,0.406,"('subject_1', 'subject_10', 'subject_3')"
Light Gradient Boosting Machine,3.503,17.5849,4.1925,-0.0196,0.3195,0.3142,0.308,"('subject_1', 'subject_10', 'subject_3')"
AdaBoost Regressor,3.5052,16.1595,4.0184,0.0653,0.3155,0.324,0.264,"('subject_1', 'subject_10', 'subject_3')"
Linear Regression,3.5921,17.1901,4.1445,0.0059,0.3277,0.3381,0.32,"('subject_1', 'subject_10', 'subject_3')"
Ridge Regression,3.5936,17.1874,4.1442,0.006,0.3279,0.3385,0.273,"('subject_1', 'subject_10', 'subject_3')"
Dummy Regressor,3.6085,17.4083,4.1702,-0.0056,0.3311,0.3423,0.232,"('subject_1', 'subject_10', 'subject_3')"
Elastic Net,3.6094,17.376,4.1667,-0.0041,0.331,0.3425,0.234,"('subject_1', 'subject_10', 'subject_3')"
Lasso Least Angle Regression,3.6109,17.422,4.1719,-0.0065,0.3313,0.3426,0.315,"('subject_1', 'subject_10', 'subject_3')"
Lasso Regression,3.6109,17.422,4.1719,-0.0065,0.3313,0.3426,0.297,"('subject_1', 'subject_10', 'subject_3')"
Bayesian Ridge,3.614,17.4149,4.1713,-0.0063,0.3312,0.3428,0.237,"('subject_1', 'subject_10', 'subject_3')"
Least Angle Regression,3.617,17.686,4.2025,-0.0223,0.3307,0.3402,0.243,"('subject_1', 'subject_10', 'subject_3')"
Orthogonal Matching Pursuit,3.6232,17.5227,4.1843,-0.0127,0.3322,0.3438,0.273,"('subject_1', 'subject_10', 'subject_3')"
Huber Regressor,3.6322,17.8007,4.218,-0.0302,0.3358,0.349,0.276,"('subject_1', 'subject_10', 'subject_3')"
K Neighbors Regressor,3.6953,19.3604,4.3974,-0.1191,0.3436,0.3473,0.3,"('subject_1', 'subject_10', 'subject_3')"
Decision Tree Regressor,4.2714,28.8613,5.367,-0.6754,0.4125,0.3722,0.273,"('subject_1', 'subject_10', 'subject_3')"
Passive Aggressive Regressor,4.889,35.4585,5.7799,-1.0683,0.4685,0.3854,0.258,"('subject_1', 'subject_10', 'subject_3')"
Random Forest Regressor,3.5128,16.6789,4.0821,0.0552,0.3174,0.3228,0.459,"('subject_1', 'subject_10', 'subject_33')"
Gradient Boosting Regressor,3.5556,16.9614,4.1154,0.0404,0.3216,0.3293,0.342,"('subject_1', 'subject_10', 'subject_33')"
AdaBoost Regressor,3.5666,16.7795,4.0944,0.0523,0.324,0.3358,0.28,"('subject_1', 'subject_10', 'subject_33')"
Extra Trees Regressor,3.5795,17.6816,4.2026,-0.0005,0.3246,0.328,0.334,"('subject_1', 'subject_10', 'subject_33')"
Linear Regression,3.591,17.4129,4.1695,0.0178,0.3311,0.3416,0.297,"('subject_1', 'subject_10', 'subject_33')"
Ridge Regression,3.5917,17.4137,4.1697,0.0178,0.3312,0.3419,0.261,"('subject_1', 'subject_10', 'subject_33')"
Light Gradient Boosting Machine,3.5925,18.2952,4.2745,-0.0358,0.328,0.3251,0.359,"('subject_1', 'subject_10', 'subject_33')"
Elastic Net,3.6272,17.7704,4.2128,-0.0023,0.3363,0.3484,0.242,"('subject_1', 'subject_10', 'subject_33')"
Bayesian Ridge,3.633,17.8023,4.2167,-0.0042,0.3365,0.3487,0.256,"('subject_1', 'subject_10', 'subject_33')"
Orthogonal Matching Pursuit,3.633,17.8779,4.2258,-0.0087,0.3371,0.3488,0.257,"('subject_1', 'subject_10', 'subject_33')"
Lasso Regression,3.6369,17.8428,4.2215,-0.0065,0.3369,0.3492,0.319,"('subject_1', 'subject_10', 'subject_33')"
Lasso Least Angle Regression,3.6369,17.8428,4.2215,-0.0065,0.3369,0.3492,0.312,"('subject_1', 'subject_10', 'subject_33')"
Dummy Regressor,3.6445,17.9041,4.2287,-0.0099,0.3373,0.3499,0.279,"('subject_1', 'subject_10', 'subject_33')"
Huber Regressor,3.6512,18.1183,4.2537,-0.0219,0.3398,0.3533,0.284,"('subject_1', 'subject_10', 'subject_33')"
K Neighbors Regressor,3.8328,20.5633,4.533,-0.1637,0.3583,0.3705,0.228,"('subject_1', 'subject_10', 'subject_33')"
Least Angle Regression,4.2244,32.9038,5.0517,-0.7487,0.3868,0.402,0.273,"('subject_1', 'subject_10', 'subject_33')"
Decision Tree Regressor,4.3866,30.6101,5.527,-0.7403,0.4267,0.385,0.265,"('subject_1', 'subject_10', 'subject_33')"
Passive Aggressive Regressor,4.6624,32.9164,5.5851,-0.8525,0.4262,0.4642,0.247,"('subject_1', 'subject_10', 'subject_33')"
Random Forest Regressor,3.3783,15.8283,3.9721,0.1136,0.3077,0.3087,0.44,"('subject_1', 'subject_10', 'subject_5')"
Light Gradient Boosting Machine,3.4302,16.9655,4.1148,0.0477,0.3155,0.3105,0.31,"('subject_1', 'subject_10', 'subject_5')"
Gradient Boosting Regressor,3.4533,16.18,4.0156,0.0939,0.3122,0.3173,0.476,"('subject_1', 'subject_10', 'subject_5')"
Extra Trees Regressor,3.454,16.8088,4.0961,0.0566,0.3154,0.3145,0.478,"('subject_1', 'subject_10', 'subject_5')"
AdaBoost Regressor,3.5523,16.6004,4.0688,0.0719,0.3236,0.3361,0.27,"('subject_1', 'subject_10', 'subject_5')"
Least Angle Regression,3.6494,17.9072,4.2251,-0.0004,0.3386,0.3502,0.245,"('subject_1', 'subject_10', 'subject_5')"
Linear Regression,3.6551,17.824,4.2148,0.0047,0.3368,0.3513,0.255,"('subject_1', 'subject_10', 'subject_5')"
Ridge Regression,3.6565,17.8225,4.2147,0.0049,0.337,0.3517,0.29,"('subject_1', 'subject_10', 'subject_5')"
Dummy Regressor,3.6726,18.1071,4.2477,-0.0093,0.3409,0.3558,0.252,"('subject_1', 'subject_10', 'subject_5')"
Lasso Least Angle Regression,3.6773,18.1295,4.2503,-0.0105,0.3412,0.3564,0.241,"('subject_1', 'subject_10', 'subject_5')"
Lasso Regression,3.6773,18.1295,4.2503,-0.0105,0.3412,0.3564,0.292,"('subject_1', 'subject_10', 'subject_5')"
Elastic Net,3.6792,18.1161,4.2486,-0.0097,0.3412,0.3568,0.24,"('subject_1', 'subject_10', 'subject_5')"
Bayesian Ridge,3.6801,18.1213,4.2493,-0.0101,0.3412,0.3567,0.269,"('subject_1', 'subject_10', 'subject_5')"
Orthogonal Matching Pursuit,3.6884,18.2341,4.2622,-0.0161,0.342,0.3574,0.269,"('subject_1', 'subject_10', 'subject_5')"
Huber Regressor,3.7011,18.4564,4.288,-0.029,0.3449,0.3627,0.278,"('subject_1', 'subject_10', 'subject_5')"
K Neighbors Regressor,3.7134,19.2488,4.3801,-0.079,0.3469,0.3563,0.249,"('subject_1', 'subject_10', 'subject_5')"
Decision Tree Regressor,4.3748,30.1328,5.4794,-0.6928,0.4194,0.3827,0.255,"('subject_1', 'subject_10', 'subject_5')"
Passive Aggressive Regressor,5.3938,42.9057,6.4278,-1.4227,0.5151,0.4748,0.285,"('subject_1', 'subject_10', 'subject_5')"
Random Forest Regressor,3.38,15.6873,3.9537,0.0718,0.3054,0.307,0.484,"('subject_1', 'subject_10', 'subject_6')"
Light Gradient Boosting Machine,3.4311,16.9486,4.1096,-0.0027,0.3144,0.3076,0.288,"('subject_1', 'subject_10', 'subject_6')"
Gradient Boosting Regressor,3.433,16.0924,4.0063,0.0464,0.3123,0.3158,0.32,"('subject_1', 'subject_10', 'subject_6')"
Extra Trees Regressor,3.4491,16.6745,4.0744,0.0155,0.3115,0.3114,0.514,"('subject_1', 'subject_10', 'subject_6')"
AdaBoost Regressor,3.4884,16.2333,4.025,0.0397,0.3179,0.3253,0.311,"('subject_1', 'subject_10', 'subject_6')"
Ridge Regression,3.5093,16.7984,4.0948,0.0062,0.3257,0.3335,0.299,"('subject_1', 'subject_10', 'subject_6')"
Linear Regression,3.5096,16.8081,4.096,0.0055,0.3256,0.3333,0.272,"('subject_1', 'subject_10', 'subject_6')"
Least Angle Regression,3.5116,16.8354,4.0992,0.0038,0.3256,0.3333,0.295,"('subject_1', 'subject_10', 'subject_6')"
Orthogonal Matching Pursuit,3.5152,16.9383,4.1111,-0.0007,0.3286,0.3368,0.265,"('subject_1', 'subject_10', 'subject_6')"
Elastic Net,3.5222,16.9616,4.1139,-0.002,0.3287,0.3374,0.259,"('subject_1', 'subject_10', 'subject_6')"
Bayesian Ridge,3.5287,17.0173,4.1204,-0.0051,0.3291,0.3379,0.274,"('subject_1', 'subject_10', 'subject_6')"
Lasso Regression,3.5288,17.0057,4.1196,-0.0049,0.3291,0.3378,0.255,"('subject_1', 'subject_10', 'subject_6')"
Lasso Least Angle Regression,3.5288,17.0057,4.1196,-0.0049,0.3291,0.3378,0.335,"('subject_1', 'subject_10', 'subject_6')"
Dummy Regressor,3.5399,17.1059,4.1319,-0.011,0.3297,0.3386,0.294,"('subject_1', 'subject_10', 'subject_6')"
Huber Regressor,3.5551,17.4433,4.1718,-0.0312,0.3333,0.3436,0.331,"('subject_1', 'subject_10', 'subject_6')"
K Neighbors Regressor,3.6769,19.1661,4.3726,-0.1354,0.3436,0.3505,0.265,"('subject_1', 'subject_10', 'subject_6')"
Passive Aggressive Regressor,4.2112,26.5351,4.9651,-0.592,0.3994,0.3615,0.26,"('subject_1', 'subject_10', 'subject_6')"
Decision Tree Regressor,4.3705,29.9815,5.4666,-0.7792,0.4179,0.3805,0.243,"('subject_1', 'subject_10', 'subject_6')"
Gradient Boosting Regressor,3.5125,16.4497,4.053,0.0863,0.3172,0.3251,0.455,"('subject_1', 'subject_10', 'subject_7')"
Random Forest Regressor,3.5126,16.8733,4.1045,0.0622,0.3184,0.3214,0.464,"('subject_1', 'subject_10', 'subject_7')"
AdaBoost Regressor,3.5566,16.6544,4.0773,0.0762,0.3227,0.3346,0.346,"('subject_1', 'subject_10', 'subject_7')"
Extra Trees Regressor,3.5592,17.5501,4.1868,0.0235,0.3233,0.3261,0.421,"('subject_1', 'subject_10', 'subject_7')"
Light Gradient Boosting Machine,3.6083,18.3986,4.2858,-0.0222,0.3302,0.3286,0.378,"('subject_1', 'subject_10', 'subject_7')"
Least Angle Regression,3.6724,18.1523,4.2575,-0.0055,0.339,0.3522,0.351,"('subject_1', 'subject_10', 'subject_7')"
Linear Regression,3.6727,18.0479,4.245,0.0006,0.3384,0.3525,0.312,"('subject_1', 'subject_10', 'subject_7')"
Ridge Regression,3.6743,18.0463,4.2448,0.0007,0.3386,0.3528,0.309,"('subject_1', 'subject_10', 'subject_7')"
Orthogonal Matching Pursuit,3.6899,18.1727,4.2594,-0.0058,0.3409,0.3563,0.263,"('subject_1', 'subject_10', 'subject_7')"
Elastic Net,3.6962,18.1951,4.2622,-0.0071,0.3411,0.3568,0.357,"('subject_1', 'subject_10', 'subject_7')"
Lasso Regression,3.6993,18.2195,4.2652,-0.0085,0.3412,0.3569,0.319,"('subject_1', 'subject_10', 'subject_7')"
Lasso Least Angle Regression,3.6993,18.2195,4.2652,-0.0085,0.3412,0.3569,0.295,"('subject_1', 'subject_10', 'subject_7')"
Dummy Regressor,3.7004,18.2377,4.2672,-0.0094,0.3413,0.3568,0.317,"('subject_1', 'subject_10', 'subject_7')"
Bayesian Ridge,3.7057,18.2684,4.2709,-0.0112,0.3416,0.3575,0.298,"('subject_1', 'subject_10', 'subject_7')"
Huber Regressor,3.7159,18.5658,4.3046,-0.0278,0.3455,0.3634,0.316,"('subject_1', 'subject_10', 'subject_7')"
K Neighbors Regressor,3.8561,20.8494,4.562,-0.1545,0.3595,0.3712,0.302,"('subject_1', 'subject_10', 'subject_7')"
Decision Tree Regressor,4.5577,32.5273,5.6821,-0.8042,0.4366,0.4003,0.264,"('subject_1', 'subject_10', 'subject_7')"
Passive Aggressive Regressor,4.5738,31.0287,5.4895,-0.7114,0.4145,0.4197,0.292,"('subject_1', 'subject_10', 'subject_7')"
Random Forest Regressor,3.4411,16.2472,4.0288,0.0903,0.3121,0.314,0.559,"('subject_1', 'subject_10', 'subject_8')"
Light Gradient Boosting Machine,3.4806,17.5334,4.1852,0.0163,0.3197,0.3123,0.353,"('subject_1', 'subject_10', 'subject_8')"
Gradient Boosting Regressor,3.5081,16.4725,4.0557,0.0791,0.3156,0.3227,0.382,"('subject_1', 'subject_10', 'subject_8')"
Extra Trees Regressor,3.5411,17.6531,4.1994,0.0129,0.3219,0.3205,0.393,"('subject_1', 'subject_10', 'subject_8')"
AdaBoost Regressor,3.5896,17.0483,4.1261,0.049,0.3253,0.3353,0.336,"('subject_1', 'subject_10', 'subject_8')"
Least Angle Regression,3.6089,17.5182,4.1812,0.0246,0.3319,0.3431,0.375,"('subject_1', 'subject_10', 'subject_8')"
Linear Regression,3.6094,17.5189,4.1813,0.0246,0.332,0.3432,0.351,"('subject_1', 'subject_10', 'subject_8')"
Ridge Regression,3.6119,17.5182,4.1812,0.0247,0.3321,0.3437,0.358,"('subject_1', 'subject_10', 'subject_8')"
Elastic Net,3.6597,17.881,4.2244,0.0048,0.3372,0.3512,0.35,"('subject_1', 'subject_10', 'subject_8')"
Lasso Least Angle Regression,3.6616,17.887,4.2253,0.0043,0.3373,0.3514,0.36,"('subject_1', 'subject_10', 'subject_8')"
Lasso Regression,3.6616,17.887,4.2253,0.0043,0.3373,0.3514,0.303,"('subject_1', 'subject_10', 'subject_8')"
Huber Regressor,3.6635,18.1284,4.2546,-0.0108,0.34,0.3545,0.374,"('subject_1', 'subject_10', 'subject_8')"
Bayesian Ridge,3.6638,17.9044,4.2271,0.0035,0.3373,0.3513,0.307,"('subject_1', 'subject_10', 'subject_8')"
Dummy Regressor,3.6764,18.0578,4.2454,-0.0052,0.3386,0.3526,0.329,"('subject_1', 'subject_10', 'subject_8')"
Orthogonal Matching Pursuit,3.6783,17.9914,4.2379,-0.0018,0.3381,0.3526,0.318,"('subject_1', 'subject_10', 'subject_8')"
K Neighbors Regressor,3.7658,19.8819,4.4526,-0.1092,0.3496,0.3583,0.406,"('subject_1', 'subject_10', 'subject_8')"
